a	b	DFreq
0.040000	0.750000	0.000971
0.040000	0.760000	0.000963
0.040000	0.770000	0.000955
0.040000	0.780000	0.000948
0.040000	0.790000	0.000940
0.040000	0.800000	0.000933
0.040000	0.810000	0.000925
0.040000	0.820000	0.000918
0.040000	0.830000	0.000911
0.040000	0.840000	0.000904
0.040000	0.850000	0.000897
0.040000	0.860000	0.000890
0.040000	0.870000	0.000883
0.040000	0.880000	0.000876
0.040000	0.890000	0.000869
0.040000	0.900000	0.000863
0.040000	0.910000	0.000856
0.040000	0.920000	0.000850
0.040000	0.930000	0.000843
0.040000	0.940000	0.000837
0.040000	0.950000	0.000831
0.040000	0.960000	0.000825
0.040000	0.970000	0.000819
0.040000	0.980000	0.000813
0.040000	0.990000	0.000807
0.040000	1.000000	0.000801
0.050000	0.000000	0.003301
0.050000	0.010000	0.003084
0.050000	0.020000	0.002909
0.050000	0.030000	0.002764
0.050000	0.040000	0.002641
0.050000	0.050000	0.002534
0.050000	0.060000	0.002441
0.050000	0.070000	0.002358
0.050000	0.080000	0.002283
0.050000	0.090000	0.002216
0.050000	0.100000	0.002154
0.050000	0.110000	0.002097
0.050000	0.120000	0.002045
0.050000	0.130000	0.001996
0.050000	0.140000	0.001951
0.050000	0.150000	0.001909
0.050000	0.160000	0.001869
0.050000	0.170000	0.001831
0.050000	0.180000	0.001796
0.050000	0.190000	0.001762
0.050000	0.200000	0.001730
0.050000	0.210000	0.001699
0.050000	0.220000	0.001670
0.050000	0.230000	0.001643
0.050000	0.240000	0.001616
0.050000	0.250000	0.001591
0.050000	0.260000	0.001566
0.050000	0.270000	0.001543
0.050000	0.280000	0.001520
0.050000	0.290000	0.001498
0.050000	0.300000	0.001477
0.050000	0.310000	0.001456
0.050000	0.320000	0.001437
0.050000	0.330000	0.001418
0.050000	0.340000	0.001399
0.050000	0.350000	0.001381
0.050000	0.360000	0.001364
0.050000	0.370000	0.001347
0.050000	0.380000	0.001330
0.050000	0.390000	0.001314
0.050000	0.400000	0.001299
0.050000	0.410000	0.001283
0.050000	0.420000	0.001269
0.050000	0.430000	0.001254
0.050000	0.440000	0.001240
0.050000	0.450000	0.001226
0.050000	0.460000	0.001213
0.050000	0.470000	0.001200
0.050000	0.480000	0.001187
0.050000	0.490000	0.001174
0.050000	0.500000	0.001162
0.050000	0.510000	0.001150
0.050000	0.520000	0.001138
0.050000	0.530000	0.001127
0.050000	0.540000	0.001115
0.050000	0.550000	0.001104
0.050000	0.560000	0.001093
0.050000	0.570000	0.001083
0.050000	0.580000	0.001072
0.050000	0.590000	0.001062
0.050000	0.600000	0.001052
0.050000	0.610000	0.001042
0.050000	0.620000	0.001032
0.050000	0.630000	0.001022
0.050000	0.640000	0.001013
0.050000	0.650000	0.001004
0.050000	0.660000	0.000995
0.050000	0.670000	0.000986
0.050000	0.680000	0.000977
0.050000	0.690000	0.000968
0.050000	0.700000	0.000959
0.050000	0.710000	0.000951
0.050000	0.720000	0.000943
0.050000	0.730000	0.000935
0.050000	0.740000	0.000927
0.050000	0.750000	0.000919
0.050000	0.760000	0.000911
0.050000	0.770000	0.000903
0.050000	0.780000	0.000895
0.050000	0.790000	0.000888
0.050000	0.800000	0.000881
0.050000	0.810000	0.000873
0.050000	0.820000	0.000866
0.050000	0.830000	0.000859
0.050000	0.840000	0.000852
0.050000	0.850000	0.000845
0.050000	0.860000	0.000838
0.050000	0.870000	0.000831
0.050000	0.880000	0.000825
0.050000	0.890000	0.000818
0.050000	0.900000	0.000812
0.050000	0.910000	0.000805
0.050000	0.920000	0.000799
0.050000	0.930000	0.000793
0.050000	0.940000	0.000787
0.050000	0.950000	0.000780
0.050000	0.960000	0.000774
0.050000	0.970000	0.000768
0.050000	0.980000	0.000763
0.050000	0.990000	0.000757
0.050000	1.000000	0.000751
0.060000	0.000000	0.003073
0.060000	0.010000	0.002890
0.060000	0.020000	0.002739
0.060000	0.030000	0.002611
0.060000	0.040000	0.002501
0.060000	0.050000	0.002405
0.060000	0.060000	0.002319
0.060000	0.070000	0.002243
0.060000	0.080000	0.002174
0.060000	0.090000	0.002110
0.060000	0.100000	0.002052
0.060000	0.110000	0.001999
0.060000	0.120000	0.001949
0.060000	0.130000	0.001903
0.060000	0.140000	0.001860
0.060000	0.150000	0.001820
0.060000	0.160000	0.001781
0.060000	0.170000	0.001745
0.060000	0.180000	0.001711
0.060000	0.190000	0.001679
0.060000	0.200000	0.001648
0.060000	0.210000	0.001619
0.060000	0.220000	0.001591
0.060000	0.230000	0.001564
0.060000	0.240000	0.001538
0.060000	0.250000	0.001513
0.060000	0.260000	0.001489
0.060000	0.270000	0.001467
0.060000	0.280000	0.001445
0.060000	0.290000	0.001423
0.060000	0.300000	0.001403
0.060000	0.310000	0.001383
0.060000	0.320000	0.001364
0.060000	0.330000	0.001345
0.060000	0.340000	0.001327
0.060000	0.350000	0.001310
0.060000	0.360000	0.001293
0.060000	0.370000	0.001276
0.060000	0.380000	0.001260
0.060000	0.390000	0.001244
0.060000	0.400000	0.001229
0.060000	0.410000	0.001214
0.060000	0.420000	0.001200
0.060000	0.430000	0.001186
0.060000	0.440000	0.001172
0.060000	0.450000	0.001159
0.060000	0.460000	0.001146
0.060000	0.470000	0.001133
0.060000	0.480000	0.001120
0.060000	0.490000	0.001108
0.060000	0.500000	0.001096
0.060000	0.510000	0.001084
0.060000	0.520000	0.001073
0.060000	0.530000	0.001062
0.060000	0.540000	0.001051
0.060000	0.550000	0.001040
0.060000	0.560000	0.001029
0.060000	0.570000	0.001019
0.060000	0.580000	0.001009
0.060000	0.590000	0.000999
0.060000	0.600000	0.000989
0.060000	0.610000	0.000979
0.060000	0.620000	0.000970
0.060000	0.630000	0.000960
0.060000	0.640000	0.000951
0.060000	0.650000	0.000942
0.060000	0.660000	0.000933
0.060000	0.670000	0.000924
0.060000	0.680000	0.000916
0.060000	0.690000	0.000907
0.060000	0.700000	0.000899
0.060000	0.710000	0.000891
0.060000	0.720000	0.000883
0.060000	0.730000	0.000875
0.060000	0.740000	0.000867
0.060000	0.750000	0.000860
0.060000	0.760000	0.000852
0.060000	0.770000	0.000844
0.060000	0.780000	0.000837
0.060000	0.790000	0.000830
0.060000	0.800000	0.000823
0.060000	0.810000	0.000816
0.060000	0.820000	0.000809
0.060000	0.830000	0.000802
0.060000	0.840000	0.000795
0.060000	0.850000	0.000788
0.060000	0.860000	0.000782
0.060000	0.870000	0.000775
0.060000	0.880000	0.000769
0.060000	0.890000	0.000762
0.060000	0.900000	0.000756
0.060000	0.910000	0.000750
0.060000	0.920000	0.000744
0.060000	0.930000	0.000738
0.060000	0.940000	0.000732
0.060000	0.950000	0.000726
0.060000	0.960000	0.000720
0.060000	0.970000	0.000714
0.060000	0.980000	0.000709
0.060000	0.990000	0.000703
0.060000	1.000000	0.000698
0.070000	0.000000	0.002804
0.070000	0.010000	0.002653
0.070000	0.020000	0.002527
0.070000	0.030000	0.002418
0.070000	0.040000	0.002322
0.070000	0.050000	0.002237
0.070000	0.060000	0.002162
0.070000	0.070000	0.002093
0.070000	0.080000	0.002031
0.070000	0.090000	0.001973
0.070000	0.100000	0.001921
0.070000	0.110000	0.001872
0.070000	0.120000	0.001826
0.070000	0.130000	0.001784
0.070000	0.140000	0.001744
0.070000	0.150000	0.001706
0.070000	0.160000	0.001670
0.070000	0.170000	0.001637
0.070000	0.180000	0.001605
0.070000	0.190000	0.001575
0.070000	0.200000	0.001546
0.070000	0.210000	0.001518
0.070000	0.220000	0.001492
0.070000	0.230000	0.001466
0.070000	0.240000	0.001442
0.070000	0.250000	0.001419
0.070000	0.260000	0.001396
0.070000	0.270000	0.001374
0.070000	0.280000	0.001354
0.070000	0.290000	0.001333
0.070000	0.300000	0.001314
0.070000	0.310000	0.001295
0.070000	0.320000	0.001277
0.070000	0.330000	0.001259
0.070000	0.340000	0.001242
0.070000	0.350000	0.001225
0.070000	0.360000	0.001209
0.070000	0.370000	0.001194
0.070000	0.380000	0.001178
0.070000	0.390000	0.001163
0.070000	0.400000	0.001149
0.070000	0.410000	0.001135
0.070000	0.420000	0.001121
0.070000	0.430000	0.001108
0.070000	0.440000	0.001095
0.070000	0.450000	0.001082
0.070000	0.460000	0.001069
0.070000	0.470000	0.001057
0.070000	0.480000	0.001045
0.070000	0.490000	0.001033
0.070000	0.500000	0.001022
0.070000	0.510000	0.001011
0.070000	0.520000	0.001000
0.070000	0.530000	0.000989
0.070000	0.540000	0.000979
0.070000	0.550000	0.000968
0.070000	0.560000	0.000958
0.070000	0.570000	0.000948
0.070000	0.580000	0.000938
0.070000	0.590000	0.000929
0.070000	0.600000	0.000920
0.070000	0.610000	0.000910
0.070000	0.620000	0.000901
0.070000	0.630000	0.000892
0.070000	0.640000	0.000884
0.070000	0.650000	0.000875
0.070000	0.660000	0.000867
0.070000	0.670000	0.000858
0.070000	0.680000	0.000850
0.070000	0.690000	0.000842
0.070000	0.700000	0.000834
0.070000	0.710000	0.000826
0.070000	0.720000	0.000819
0.070000	0.730000	0.000811
0.070000	0.740000	0.000804
0.070000	0.750000	0.000796
0.070000	0.760000	0.000789
0.070000	0.770000	0.000782
0.070000	0.780000	0.000775
0.070000	0.790000	0.000768
0.070000	0.800000	0.000761
0.070000	0.810000	0.000755
0.070000	0.820000	0.000748
0.070000	0.830000	0.000741
0.070000	0.840000	0.000735
0.070000	0.850000	0.000729
0.070000	0.860000	0.000722
0.070000	0.870000	0.000716
0.070000	0.880000	0.000710
0.070000	0.890000	0.000704
0.070000	0.900000	0.000698
0.070000	0.910000	0.000692
0.070000	0.920000	0.000686
0.070000	0.930000	0.000681
0.070000	0.940000	0.000675
0.070000	0.950000	0.000669
0.070000	0.960000	0.000664
0.070000	0.970000	0.000659
0.070000	0.980000	0.000653
0.070000	0.990000	0.000648
0.070000	1.000000	0.000643
0.080000	0.000000	0.002524
0.080000	0.010000	0.002402
0.080000	0.020000	0.002297
0.080000	0.030000	0.002205
0.080000	0.040000	0.002124
0.080000	0.050000	0.002051
0.080000	0.060000	0.001985
0.080000	0.070000	0.001925
0.080000	0.080000	0.001870
0.080000	0.090000	0.001819
0.080000	0.100000	0.001772
0.080000	0.110000	0.001728
0.080000	0.120000	0.001687
0.080000	0.130000	0.001648
0.080000	0.140000	0.001612
0.080000	0.150000	0.001578
0.080000	0.160000	0.001545
0.080000	0.170000	0.001514
0.080000	0.180000	0.001485
0.080000	0.190000	0.001457
0.080000	0.200000	0.001431
0.080000	0.210000	0.001405
0.080000	0.220000	0.001381
0.080000	0.230000	0.001358
0.080000	0.240000	0.001335
0.080000	0.250000	0.001313
0.080000	0.260000	0.001293
0.080000	0.270000	0.001273
0.080000	0.280000	0.001253
0.080000	0.290000	0.001234
0.080000	0.300000	0.001216
0.080000	0.310000	0.001199
0.080000	0.320000	0.001182
0.080000	0.330000	0.001165
0.080000	0.340000	0.001149
0.080000	0.350000	0.001134
0.080000	0.360000	0.001119
0.080000	0.370000	0.001104
0.080000	0.380000	0.001090
0.080000	0.390000	0.001076
0.080000	0.400000	0.001062
0.080000	0.410000	0.001049
0.080000	0.420000	0.001036
0.080000	0.430000	0.001024
0.080000	0.440000	0.001011
0.080000	0.450000	0.000999
0.080000	0.460000	0.000988
0.080000	0.470000	0.000976
0.080000	0.480000	0.000965
0.080000	0.490000	0.000954
0.080000	0.500000	0.000943
0.080000	0.510000	0.000933
0.080000	0.520000	0.000923
0.080000	0.530000	0.000912
0.080000	0.540000	0.000903
0.080000	0.550000	0.000893
0.080000	0.560000	0.000883
0.080000	0.570000	0.000874
0.080000	0.580000	0.000865
0.080000	0.590000	0.000856
0.080000	0.600000	0.000847
0.080000	0.610000	0.000838
0.080000	0.620000	0.000830
0.080000	0.630000	0.000822
0.080000	0.640000	0.000813
0.080000	0.650000	0.000805
0.080000	0.660000	0.000797
0.080000	0.670000	0.000790
0.080000	0.680000	0.000782
0.080000	0.690000	0.000774
0.080000	0.700000	0.000767
0.080000	0.710000	0.000760
0.080000	0.720000	0.000752
0.080000	0.730000	0.000745
0.080000	0.740000	0.000738
0.080000	0.750000	0.000731
0.080000	0.760000	0.000725
0.080000	0.770000	0.000718
0.080000	0.780000	0.000711
0.080000	0.790000	0.000705
0.080000	0.800000	0.000699
0.080000	0.810000	0.000692
0.080000	0.820000	0.000686
0.080000	0.830000	0.000680
0.080000	0.840000	0.000674
0.080000	0.850000	0.000668
0.080000	0.860000	0.000662
0.080000	0.870000	0.000656
0.080000	0.880000	0.000651
0.080000	0.890000	0.000645
0.080000	0.900000	0.000639
0.080000	0.910000	0.000634
0.080000	0.920000	0.000628
0.080000	0.930000	0.000623
0.080000	0.940000	0.000618
0.080000	0.950000	0.000613
0.080000	0.960000	0.000607
0.080000	0.970000	0.000602
0.080000	0.980000	0.000597
0.080000	0.990000	0.000592
0.080000	1.000000	0.000587
0.090000	0.000000	0.002250
0.090000	0.010000	0.002151
0.090000	0.020000	0.002065
0.090000	0.030000	0.001988
0.090000	0.040000	0.001919
0.090000	0.050000	0.001857
0.090000	0.060000	0.001801
0.090000	0.070000	0.001749
0.090000	0.080000	0.001701
0.090000	0.090000	0.001656
0.090000	0.100000	0.001615
0.090000	0.110000	0.001576
0.090000	0.120000	0.001540
0.090000	0.130000	0.001505
0.090000	0.140000	0.001473
0.090000	0.150000	0.001442
0.090000	0.160000	0.001413
0.090000	0.170000	0.001386
0.090000	0.180000	0.001359
0.090000	0.190000	0.001334
0.090000	0.200000	0.001310
