Time	Coop	Chea
29.114557	2.846825	2.153616
29.164582	2.989105	2.261251
29.214607	3.130675	2.368349
29.264632	3.270840	2.474383
29.314657	3.408932	2.578849
29.364682	3.544323	2.681272
29.414707	3.676437	2.781216
29.464732	3.804756	2.878289
29.514757	3.928828	2.972150
29.564782	4.048273	3.062509
29.614807	4.162781	3.149135
29.664832	4.272116	3.231846
29.714857	4.376111	3.310518
29.764882	4.474666	3.385075
29.814907	4.567743	3.455487
29.864932	4.655358	3.521768
29.914957	4.737580	3.583969
29.964982	4.814517	3.642171
30.015008	4.886314	3.696486
30.065033	4.953146	3.747044
30.115058	5.015210	3.793995
30.165083	5.072721	3.837502
30.215108	5.125905	3.877736
30.265133	5.174996	3.914873
30.315158	5.220230	3.949092
30.365183	5.261844	3.980573
30.415208	5.300073	4.009493
30.465233	5.335143	4.036024
30.515258	5.367277	4.060333
30.565283	5.396687	4.082581
30.615308	5.423576	4.102923
30.665333	5.448136	4.121503
30.715358	5.470551	4.138460
30.765383	5.490992	4.153923
30.815408	5.509618	4.168013
30.865433	5.526580	4.180845
30.915458	5.542018	4.192524
30.965483	5.556060	4.203147
31.015508	5.568827	4.212805
31.065533	5.580428	4.221582
31.115558	5.590968	4.229554
31.165583	5.600538	4.236794
31.215608	5.609225	4.243366
31.265633	5.617108	4.249330
31.315658	5.624260	4.254740
31.365683	5.630747	4.259647
31.415708	5.636629	4.264097
31.465733	5.641961	4.268131
31.515758	5.646795	4.271788
31.565783	5.651176	4.275101
31.615808	5.655145	4.278104
31.665833	5.658741	4.280825
31.715858	5.661999	4.283289
31.765883	5.664950	4.285522
31.815908	5.667622	4.287543
31.865933	5.670043	4.289374
31.915958	5.672234	4.291032
31.965983	5.674219	4.292534
32.016008	0.567422	0.429253
32.066033	0.620621	0.469498
32.116058	0.678147	0.513017
32.166083	0.740228	0.559981
32.216108	0.807077	0.610552
32.266133	0.878892	0.664880
32.316158	0.955848	0.723097
32.366183	1.038088	0.785311
32.416208	1.125723	0.851607
32.466233	1.218819	0.922034
32.516258	1.317393	0.996605
32.566283	1.421407	1.075291
32.616308	1.530761	1.158017
32.666333	1.645287	1.244656
32.716358	1.764748	1.335028
32.766383	1.888837	1.428901
32.816408	2.017170	1.525984
32.866433	2.149296	1.625938
32.916458	2.284698	1.728369
32.966483	2.422798	1.832841
33.016508	2.562969	1.938880
33.066533	2.704543	2.045981
33.116558	2.846825	2.153616
33.166583	2.989105	2.261251
33.216608	3.130675	2.368349
33.266633	3.270840	2.474383
33.316658	3.408932	2.578849
33.366683	3.544323	2.681272
33.416708	3.676437	2.781216
33.466733	3.804756	2.878289
33.516758	3.928828	2.972150
33.566783	4.048273	3.062509
33.616808	4.162781	3.149135
33.666833	4.272116	3.231846
33.716858	4.376111	3.310518
33.766883	4.474666	3.385075
33.816908	4.567743	3.455487
33.866933	4.655359	3.521768
33.916958	4.737580	3.583969
33.966983	4.814517	3.642171
34.017009	4.886314	3.696486
34.067034	4.953146	3.747044
34.117059	5.015211	3.793995
34.167084	5.072722	3.837502
34.217109	5.125905	3.877736
34.267134	5.174996	3.914873
34.317159	5.220230	3.949092
34.367184	5.261845	3.980573
34.417209	5.300073	4.009493
34.467234	5.335143	4.036024
34.517259	5.367277	4.060333
34.567284	5.396687	4.082581
34.617309	5.423576	4.102923
34.667334	5.448136	4.121503
34.717359	5.470551	4.138460
34.767384	5.490992	4.153923
34.817409	5.509618	4.168013
34.867434	5.526580	4.180845
34.917459	5.542018	4.192524
34.967484	5.556060	4.203147
35.017509	5.568827	4.212805
35.067534	5.580429	4.221581
35.117559	5.590968	4.229554
35.167584	5.600538	4.236794
35.217609	5.609225	4.243366
35.267634	5.617108	4.249330
35.317659	5.624260	4.254740
35.367684	5.630747	4.259647
35.417709	5.636629	4.264097
35.467734	5.641961	4.268131
35.517759	5.646795	4.271788
35.567784	5.651176	4.275101
35.617809	5.655145	4.278104
35.667834	5.658741	4.280825
35.717859	5.661999	4.283289
35.767884	5.664950	4.285522
35.817909	5.667622	4.287543
35.867934	5.670043	4.289374
35.917959	5.672234	4.291032
35.967984	5.674219	4.292534
36.018009	0.567422	0.429253
36.068034	0.620621	0.469498
36.118059	0.678147	0.513017
36.168084	0.740228	0.559981
36.218109	0.807077	0.610552
36.268134	0.878892	0.664880
36.318159	0.955848	0.723097
36.368184	1.038088	0.785311
36.418209	1.125723	0.851607
36.468234	1.218819	0.922034
36.518259	1.317393	0.996605
36.568284	1.421407	1.075291
36.618309	1.530761	1.158017
36.668334	1.645287	1.244656
36.718359	1.764748	1.335028
36.768384	1.888837	1.428901
36.818409	2.017170	1.525984
36.868434	2.149296	1.625938
36.918459	2.284698	1.728369
36.968484	2.422798	1.832841
37.018509	2.562969	1.938880
37.068534	2.704543	2.045981
37.118559	2.846825	2.153616
37.168584	2.989105	2.261251
37.218609	3.130675	2.368349
37.268634	3.270840	2.474383
37.318659	3.408932	2.578849
37.368684	3.544323	2.681272
37.418709	3.676437	2.781216
37.468734	3.804756	2.878289
37.518759	3.928828	2.972150
37.568784	4.048273	3.062509
37.618809	4.162781	3.149135
37.668834	4.272116	3.231846
37.718859	4.376111	3.310518
37.768884	4.474666	3.385075
37.818909	4.567743	3.455487
37.868934	4.655359	3.521768
37.918959	4.737580	3.583969
37.968984	4.814517	3.642171
38.019010	4.886314	3.696486
38.069035	4.953146	3.747044
38.119060	5.015211	3.793995
38.169085	5.072722	3.837502
38.219110	5.125905	3.877736
38.269135	5.174996	3.914873
38.319160	5.220230	3.949092
38.369185	5.261845	3.980573
38.419210	5.300073	4.009493
38.469235	5.335143	4.036024
38.519260	5.367277	4.060333
38.569285	5.396687	4.082581
38.619310	5.423576	4.102923
38.669335	5.448136	4.121503
38.719360	5.470551	4.138460
38.769385	5.490992	4.153923
38.819410	5.509618	4.168013
