a	b	DFreq	DRel	MRel
0.040000	0.260000	0.000010	0.000006	1.000041
0.040000	0.270000	0.000010	0.000007	1.000043
0.040000	0.280000	0.000011	0.000007	1.000046
0.040000	0.290000	0.000012	0.000007	1.000049
0.040000	0.300000	0.000012	0.000008	1.000052
0.040000	0.310000	0.000013	0.000008	1.000056
0.040000	0.320000	0.000014	0.000009	1.000060
0.040000	0.330000	0.000015	0.000009	1.000064
0.040000	0.340000	0.000016	0.000010	1.000069
0.040000	0.350000	0.000017	0.000011	1.000074
0.040000	0.360000	0.000019	0.000011	1.000080
0.040000	0.370000	0.000020	0.000012	1.000086
0.040000	0.380000	0.000022	0.000013	1.000094
0.040000	0.390000	0.000024	0.000014	1.000102
0.040000	0.400000	0.000026	0.000015	1.000111
0.040000	0.410000	0.000028	0.000016	1.000121
0.040000	0.420000	0.000031	0.000017	1.000132
0.040000	0.430000	0.000034	0.000019	1.000145
0.040000	0.440000	0.000037	0.000020	1.000159
0.040000	0.450000	0.000041	0.000022	1.000176
0.040000	0.460000	0.000046	0.000024	1.000194
0.040000	0.470000	0.000050	0.000026	1.000216
0.040000	0.480000	0.000056	0.000028	1.000240
0.040000	0.490000	0.000063	0.000031	1.000268
0.040000	0.500000	0.000070	0.000034	1.000301
0.040000	0.510000	0.000079	0.000037	1.000339
0.040000	0.520000	0.000089	0.000041	1.000382
0.040000	0.530000	0.000101	0.000045	1.000434
0.040000	0.540000	0.000115	0.000050	1.000494
0.040000	0.550000	0.000131	0.000056	1.000564
0.040000	0.560000	0.000150	0.000062	1.000648
0.040000	0.570000	0.000172	0.000069	1.000746
0.040000	0.580000	0.000199	0.000077	1.000864
0.040000	0.590000	0.000231	0.000086	1.001004
0.040000	0.600000	0.000269	0.000096	1.001172
0.040000	0.610000	0.000314	0.000107	1.001372
0.040000	0.620000	0.000368	0.000119	1.001613
0.040000	0.630000	0.000433	0.000133	1.001901
0.040000	0.640000	0.000509	0.000147	1.002245
0.040000	0.650000	0.000600	0.000161	1.002653
0.040000	0.660000	0.000704	0.000175	1.003132
0.040000	0.670000	0.000823	0.000188	1.003682
0.040000	0.680000	0.000954	0.000197	1.004295
0.040000	0.690000	0.001088	0.000200	1.004944
0.040000	0.700000	0.001212	0.000196	1.005572
0.040000	0.710000	0.001303	0.000184	1.006078
0.040000	0.720000	0.001331	0.000166	1.006323
0.040000	0.730000	0.001265	0.000148	1.006163
0.040000	0.740000	0.001096	0.000313	1.005542
0.040000	0.750000	0.000854	0.000693	1.004597
0.040000	0.760000	0.000600	0.001246	1.003593
0.040000	0.770000	0.000385	0.001748	1.002694
0.040000	0.780000	0.000227	0.001961	1.001926
0.040000	0.790000	0.000126	0.001876	1.001309
0.040000	0.800000	0.000073	0.001635	1.000867
0.040000	0.810000	0.000045	0.001363	1.000580
0.040000	0.820000	0.000030	0.001120	1.000405
0.040000	0.830000	0.000021	0.000921	1.000298
0.040000	0.840000	0.000016	0.000763	1.000230
0.040000	0.850000	0.000013	0.000638	1.000183
0.040000	0.860000	0.000010	0.000539	1.000150
0.040000	0.870000	0.000009	0.000460	1.000125
0.040000	0.880000	0.000007	0.000396	1.000106
0.040000	0.890000	0.000006	0.000344	1.000091
0.040000	0.900000	0.000005	0.000301	1.000079
0.040000	0.910000	0.000005	0.000266	1.000068
0.040000	0.920000	0.000004	0.000236	1.000060
0.040000	0.930000	0.000004	0.000210	1.000053
0.040000	0.940000	0.000003	0.000189	1.000047
0.040000	0.950000	0.000003	0.000170	1.000042
0.040000	0.960000	0.000003	0.000154	1.000038
0.040000	0.970000	0.000002	0.000140	1.000034
0.040000	0.980000	0.000002	0.000128	1.000031
0.040000	0.990000	0.000002	0.000118	1.000028
0.040000	1.000000	0.000002	0.000108	1.000026
0.050000	0.000000	0.000003	0.000002	1.000013
0.050000	0.010000	0.000003	0.000002	1.000014
0.050000	0.020000	0.000003	0.000002	1.000014
0.050000	0.030000	0.000004	0.000003	1.000015
0.050000	0.040000	0.000004	0.000003	1.000015
0.050000	0.050000	0.000004	0.000003	1.000016
0.050000	0.060000	0.000004	0.000003	1.000016
0.050000	0.070000	0.000004	0.000003	1.000017
0.050000	0.080000	0.000004	0.000003	1.000018
0.050000	0.090000	0.000004	0.000003	1.000018
0.050000	0.100000	0.000005	0.000003	1.000019
0.050000	0.110000	0.000005	0.000003	1.000020
0.050000	0.120000	0.000005	0.000004	1.000021
0.050000	0.130000	0.000005	0.000004	1.000022
0.050000	0.140000	0.000005	0.000004	1.000023
0.050000	0.150000	0.000006	0.000004	1.000024
0.050000	0.160000	0.000006	0.000004	1.000025
0.050000	0.170000	0.000006	0.000004	1.000026
0.050000	0.180000	0.000007	0.000004	1.000028
0.050000	0.190000	0.000007	0.000005	1.000029
0.050000	0.200000	0.000007	0.000005	1.000031
0.050000	0.210000	0.000008	0.000005	1.000032
0.050000	0.220000	0.000008	0.000005	1.000034
0.050000	0.230000	0.000009	0.000006	1.000036
0.050000	0.240000	0.000009	0.000006	1.000038
0.050000	0.250000	0.000010	0.000006	1.000040
0.050000	0.260000	0.000010	0.000007	1.000043
0.050000	0.270000	0.000011	0.000007	1.000045
0.050000	0.280000	0.000011	0.000007	1.000048
0.050000	0.290000	0.000012	0.000008	1.000051
0.050000	0.300000	0.000013	0.000008	1.000055
0.050000	0.310000	0.000014	0.000009	1.000059
0.050000	0.320000	0.000015	0.000009	1.000063
0.050000	0.330000	0.000016	0.000010	1.000067
0.050000	0.340000	0.000017	0.000010	1.000072
0.050000	0.350000	0.000018	0.000011	1.000078
0.050000	0.360000	0.000020	0.000012	1.000084
0.050000	0.370000	0.000021	0.000013	1.000091
0.050000	0.380000	0.000023	0.000013	1.000099
0.050000	0.390000	0.000025	0.000014	1.000107
0.050000	0.400000	0.000027	0.000016	1.000117
0.050000	0.410000	0.000030	0.000017	1.000128
0.050000	0.420000	0.000033	0.000018	1.000140
0.050000	0.430000	0.000036	0.000019	1.000153
0.050000	0.440000	0.000040	0.000021	1.000169
0.050000	0.450000	0.000044	0.000023	1.000186
0.050000	0.460000	0.000048	0.000025	1.000206
0.050000	0.470000	0.000054	0.000027	1.000229
0.050000	0.480000	0.000060	0.000030	1.000255
0.050000	0.490000	0.000067	0.000032	1.000285
0.050000	0.500000	0.000075	0.000036	1.000320
